source,source_id,title,summary,s_category,provider,region,target_group,target_tags,target_age,target_age_min,target_age_max,target_detail,income_condition,startup_stage,support_type,apply_start,apply_end,additional_conditions,required_documents,application_method,detail_url,_scope,_scope_reason,norm_title,norm_provider,norm_period,category,subcategory
biz,PBLN_000000000121473,2026년 고흥군 청년 창업 도전 프로젝트 참여자 모집 연장 공고,"고흥군과 전남창조경제혁신센터에서는 혁신적인 아이디어를 가진 청년 창업가 양성과 지역 정착을 지원하기 위해 「2026년 고흥군 청년 창업 도전 프로젝트」 참여자를 아래와 같이 모집합니다.
☞ 고흥군 청년 예비창업가 및 초기창업가(모집공고일 기준 6개월 이내)
- 공고일 기준(2026. 3. 30.) 아래 자격을 모두 갖춘 자
ㆍ (대상) 고흥군에 창업을 희망하는 청년 예비창업가 및 초기창업가
※ 공고일 기준 사업자 등록을 하지 않은 예비창업가 또는 6개월 이내 고흥군 관내에 사업자등록을 한 초기창업가(2025. 9. 30. ~ 2026. 3. 30.)
ㆍ (연령) 공고일 기준 18세 ~ 49세인 청년(1977년 ~ 2008년 출생자)
ㆍ (거주지) 공고일 기준 주민등록상 주소지가 고흥군 또는 거주예정인 자
※ 거주예정인 자는 협약 체결 후 2개월 내 전입하여야 함
☞ 창업 교육, 찾아가는 컨설팅, 창업지원금 등 지원(최대 18백만원 지원)
※ 자세한 지원내용 공고문 참조",창업,전남창조경제혁신센터,전라남도,창업벤처,"청년,초기창업기업",,,,,,,사업화지원,2026-04-29,2026-05-07,,"이메일 접수 (oez1101@ccei.kr)
※ 접수 후 담당자 유선연락 필수","이메일 접수 (oez1101@ccei.kr)
※ 접수 후 담당자 유선연락 필수",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121473,main,primary,2026년고흥군청년창업도전프로젝트참여자모집연장공고,전남창조경제혁신센터,2026-04-29~2026-05-07,창업,사업화지원
biz,PBLN_000000000121472,2026년 2차 배출권거래제 할당대상업체 탄소중립 컨설팅 사업 공고,"배출권거래제 할당대상업체 대상 온실가스 감축을 위한 「할당대상업체 탄소중립 컨설팅 사업」이 다음과 같이 진행되오니 많은 참여 바랍니다.
☞ 배출권거래제 할당대상 업체 중 중소ㆍ중견기업
☞ 컨설팅 지원
- 온실가스 배출시설 목록 작성 및 원단위 조사ㆍ분석
- 배출시설 사용현황 분석, 문제점 및 개선안 발굴
- 현장 기술진단을 통한 온실가스 배출시설의 감축기술 발굴
- 온실가스 감축 예상량 산정, 시설투자 및 비용절감액등 사업효과 산정
- 온실가스 배출량 저감 및 탄소중립 방안 제시",경영,한국환경공단,기후에너지환경부,중소기업,중소기업,,,,,,,컨설팅,2026-04-27,2026-05-27,,온라인 접수 (상생누리),온라인 접수 (상생누리),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121472,main,primary,2026년2차배출권거래제할당대상업체탄소중립컨설팅사업공고,한국환경공단,2026-04-27~2026-05-27,경영,컨설팅
biz,PBLN_000000000121471,2026년 2차 전력산업정책개발 신규지원 대상과제 재공고,"전력산업의 지속적인 발전과 전력수급 안정을 위한 정부 정책의 개발 및 전력부문 정책 현안에 대해 효과적으로 대응하기 위하여 '26년 제2차 전력산업정책개발 신규지원 대상 과제를 재공고하오니 참여를 원하는 기관에서는 신청하여 주시기 바랍니다.
☞ 전기사업자 및 관련기관, 전력산업관련 연구기관, 공단, 협회 및 단체, 학교 및 부설연구소, 전력산업관련 기업 또는 기업부설연구소 등
- 기타 기반조성사업을 위하여 장관이 필요하다고 인정한 자
☞ 전력분야 정책수립ㆍ제도개선ㆍ법령개정을 위해 전력기금 예산으로 전문기관에게 조사ㆍ연구 등 의뢰 지원
※ 신규지원 대상 사업별 과제제안요구서(RFP) 참조",기술,한국전력공사,기후에너지환경부,중소기업,중소기업,,,,,,,기술정보제공,2026-04-24,2026-05-08,,"온라인 전산등록 및 우편ㆍ방문 접수
- 온라인 : 한전 전력기금사업단
- 접수처 : 서울시 영등포구 국회대로 62길 25, (우) 07236 교육시설공제회관 3층 전력기금사업단 기반사업부","온라인 전산등록 및 우편ㆍ방문 접수
- 온라인 : 한전 전력기금사업단
- 접수처 : 서울시 영등포구 국회대로 62길 25, (우) 07236 교육시설공제회관 3층 전력기금사업단 기반사업부",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121471,main,primary,2026년2차전력산업정책개발신규지원대상과제재공고,한국전력공사,2026-04-24~2026-05-08,기술,기술정보제공
biz,PBLN_000000000121470,[대전] 2026년 대전인쇄마켓 플랫폼 구축 사업 모집 공고,"대전인쇄소공인특화지원센터에서는「2026년 대전인쇄마켓 플랫폼 구축」지원사업을 아래와 같이 공고하오니 대전 인쇄집적지 소공인 여러분의 많은 참여 바랍니다.
☞ 대전 인쇄집적지(동구 정동ㆍ중동ㆍ삼성동) 내 인쇄소공인
- 상시근로자 10명 미만 사업자로 인쇄 및 기록매체 복제업을 주된 사업으로 영위하는 자
☞ 인쇄물ㆍ굿즈ㆍ판촉물 제작 인쇄소공인의 온라인 판로확대를 위해 견적요청-제작관리-홍보까지 가능한 통합 플랫폼 입점 및 활용 지원",판로/수출,대전일자리경제진흥원,대전광역시,소상공인,소상공인,,,,,,,온라인,2026-04-27,2026-05-22,,"온라인 접수(소상공인24)
※ 하단 지원사업 리스트 중 [2026년 대전인쇄마켓 플랫폼 구축] 지원사업 신청","온라인 접수(소상공인24)
※ 하단 지원사업 리스트 중 [2026년 대전인쇄마켓 플랫폼 구축] 지원사업 신청",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121470,main,primary,대전2026년대전인쇄마켓플랫폼구축사업모집공고,대전일자리경제진흥원,2026-04-27~2026-05-22,내수,온라인
biz,PBLN_000000000121469,[부산] 정보보호기업 성장지원 모집 공고,"우리 진흥원에서 수행하고 있는 “동남권 지역 거점 정보보호 클러스터 구축” 사업의 일환으로 우리 지역의 정보보호 기업 발굴 및 경쟁력 강화를 위해 아래와 같이 참여기업을 모집합니다.
☞ 공고일 기준 본사 소재지가 부산인 정보보호 관련 기술ㆍ제품ㆍ서비스 보유 기업(스마트 조선ㆍ해양ㆍ항만ㆍ공장ㆍ시티) 중 사업 기간 내 수행 가능 기업
- (창업ㆍ벤처 발굴 및 육성) : 법인설립등기일 또는 사업개시일 ~ 7년 이내 창업ㆍ벤처 기업
- (사업화(비R&D)) : 법인설립등기일 또는 사업개시일 7년 초과 제품/서비스 보유 정보보호 기업
☞ (창업ㆍ벤처 발굴 및 육성) : 지재권 취득, 기술도입, 사업화 및 실증, 마케팅, 역량강화 지원
- (사업화(비R&D)) : 시험/인증, 전시회(박람회) 참가, 상용화, 마케팅 지원",기술,부산정보산업진흥원,부산광역시,중소기업,중소기업,,,,,,,기술사업화/이전/지도,2026-04-27,2026-05-15,,이메일 접수(dncluster@bipa.kr),이메일 접수(dncluster@bipa.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121469,main,primary,부산정보보호기업성장지원모집공고,부산정보산업진흥원,2026-04-27~2026-05-15,기술,기술사업화/이전/지도
biz,PBLN_000000000121468,[강원] 인제군 2026년 중소기업 수출대금 보장 단체보험 가입 지원사업 참가기업 모집 공고,"인제군 소재 중소 수출(예정)기업을 대상으로 수출시 발생할수 있는 미결재 등 수출대금 리스크 해소를 위해 아래와 같이 「수출 대금 보장 단체보험 가입 지원사업」 참가기업을 모집하오니 많은 참여바랍니다.
☞ 인제군 중소 제조ㆍ서비스ㆍ수출대행기업(사회적기업ㆍ마을기업 포함)
☞ 수출 단체 보험 가입 지원
- 단기수출 보험 중 단체보험 가입(최대 보장금액 5만$)",자금,강원특별자치도경제진흥원,강원특별자치도,중소기업,중소기업,,,,,,,보험(수출+무역),2026-04-27,2026-05-15,,이메일 접수 (dslee@gwep.or.kr),이메일 접수 (dslee@gwep.or.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121468,main,primary,강원인제군2026년중소기업수출대금보장단체보험가입지원사업참가기업모집공고,강원특별자치도경제진흥원,2026-04-27~2026-05-15,금융,보험(수출+무역)
biz,PBLN_000000000121467,[경북] 포항시 2026년 소상공인 카드수수료 지원사업 참여업체 모집 공고,"포항시와 경북경제진흥원에서는「포항시 소상공인 카드수수료 지원사업」을 추진하고 있습니다. 참여를 희망하시는 업체는 신청하여 주시기 바랍니다.
☞ 2025년 매출액 3억원 이하이며, 포항시에 사업장을 둔 「소상공인기본법 제2」에 해당 하는 소상공인
☞ 2025년도 카드 매출액의 0.4% (업체당 최저 5만원, 최대 40만원 한도) 지원",경영,경상북도경제진흥원,경상북도,소상공인,소상공인,,,,,,,디자인/상품화/사업화,예산 소진시까지,,,"온라인 및 방문 접수
- 온라인 : 경상북도경제진흥원 카드수수료 지원사업
- 접수처 : 경상북도경제진흥원 동부지소 (포항시 남구 희망대로 859, 2층)","온라인 및 방문 접수
- 온라인 : 경상북도경제진흥원 카드수수료 지원사업
- 접수처 : 경상북도경제진흥원 동부지소 (포항시 남구 희망대로 859, 2층)",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121467,main,primary,경북포항시2026년소상공인카드수수료지원사업참여업체모집공고,경상북도경제진흥원,예산 소진시까지~,경영,디자인/상품화/사업화
biz,PBLN_000000000121466,[경북] 경산시 2026년 중소기업 기숙사 임차비 지원사업 참가기업 모집 공고,"경산시와 경북IT합산업기술원은 경산시 소재 중소기업의 기업 경쟁력 향상과 근로자들의 고용환경을 개선하고자 「경산시 중소기업 기숙사 임차비 지원사업」기업 모집을 다음과 같이 진행하오니 지역 중소기업의 많은 신청바랍니다.
☞ 경산시에 소재한 중소기업(본사, 공장, 연구소 등)으로 전 산업군 대상
※ 중소기업확인서 발급이 가능한 기업
☞ 기숙사 임차비(근로자 1인당 월 임차료의 80%, 최대 월 30만원) 지원
- 지원기간 최대 10개월, 모집규모 기업당 최대 5개실",인력/일자리,경북IT융합산업기술원,경상북도,중소기업,중소기업,,,,,,,고용환경개선,예산 소진시까지,,,"이메일 접수 (ynlim@gitc.or.kr)
※ 서류는 반드시 순서대로 정리하여 하나의 파일로 제출
※ 파일명 : 경산시 기숙사 임차비 지원신청서 - 기업명","이메일 접수 (ynlim@gitc.or.kr)
※ 서류는 반드시 순서대로 정리하여 하나의 파일로 제출
※ 파일명 : 경산시 기숙사 임차비 지원신청서 - 기업명",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121466,main,primary,경북경산시2026년중소기업기숙사임차비지원사업참가기업모집공고,경북it융합산업기술원,예산 소진시까지~,인력,고용환경개선
biz,PBLN_000000000121465,[부산ㆍ울산ㆍ경남] 2026년 동남권 지역혁신클러스터육성사업(비R&D) 통합 공고,"2026년도 산업통상부와 경상남도, 부산광역시, 울산광역시에서 추진하는 동남권 지역혁신클러스터육성사업 계획에 따라 국비 및 지방비를 지원하여 혁신기관이 보유한 인프라(인력ㆍ장비) 자원을 통해 동남권(부산ㆍ울산ㆍ경남) 혁신기업의 성장과 함께 클러스터 협력 생태계를 활성화하고자 다음과 같이 지원사업을 공고하오니 기간 내 신청 바랍니다.
☞ 부산, 울산, 경남 내 지역혁신클러스터 또는 기회발전특구 내 혁신기업
- 지역형
ㆍ 부산(N형) : 해양ICT융합 / 부산 혁신융복합단지 내 해양ICT융합산업 관련 기업 또는 부산 기회발전특구단지 내 입주기업
ㆍ 울산(G형) : 전력구동 모빌리티 / 울산 혁신융복합단지 내 전력구동 모빌리티 관련 기업또는 울산 기회발전특구단지 내 투자이행기업
ㆍ 경남(A형) : 항공부품ㆍ소재 / 경남 혁신융복합단지 내 항공부품ㆍ소재 관련 기업 또는 경남 기회발전특구단지 내 투자이행기업
- 협력형 동남권(M형)
ㆍ 멀티도메인 모빌리티(컨소시엄) : 부산/울산/경남 혁신융복합단지 내 해당 육성산업 관련 주관기업이 동남권 내 타지역 협력기업과 컨소시엄을 구성
ㆍ 혁신자원 : 부산/울산/경남 혁신융복합단지 내 입주기업
※ 자세한 지원대상 공고문 참조
☞ 지역형(부산 해양ICT융합(N형), 울산전력구동모빌리티(G형), 경남항공부품ㆍ소재(A형)), 협력형(멀티도메인 모빌리티, 혁신자원) 프로그램 지원
※ 자세한 지원내용 공고문 참조",기술,경남테크노파크,산업통상부,중소기업,중소기업,,,,,,,기술사업화/이전/지도,프로그램별 상이,,,"온라인 또는 이메일 접수
※ 프로그램별 신청 홈페이지가 상이함(별첨 참고)","온라인 또는 이메일 접수
※ 프로그램별 신청 홈페이지가 상이함(별첨 참고)",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121465,main,primary,부산ㆍ울산ㆍ경남2026년동남권지역혁신클러스터육성사업비rd통합공고,경남테크노파크,프로그램별 상이~,기술,기술사업화/이전/지도
biz,PBLN_000000000121464,[경북] 2026년 일본 동경 선물용품 잡화 전시회회(GIFTEX Tokyo) 경북 공동관 참가기업 모집 공고,"경상북도와 (재)경상북도경제진흥원은 「일본 동경 선물용품 잡화 전시회」 참가를 통해 해외 판로 개척을 희망하는 도내 수출 기업을 다음과 같이 모집 하오니, 많은 참여 바랍니다.
☞ 경북 소재 중소기업으로 제조 또는 수출하는 기업
※ 전시품목 : 뷰티, 식품, 생활용품 등 소비재 전반
☞ 전시회 참가 및 제품 홍보, 바이어 상담, 통역 및 물류비 지원",판로/수출,경상북도경제진흥원,경상북도,중소기업,중소기업,,,,,,,해외진출,2026-04-27,2026-05-13,,이메일 접수 (gulfla9871@gepa.kr),이메일 접수 (gulfla9871@gepa.kr),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121464,main,primary,경북2026년일본동경선물용품잡화전시회회giftextokyo경북공동관참가기업모집공고,경상북도경제진흥원,2026-04-27~2026-05-13,수출,해외진출
