test_id,test_type,difficulty,query,filter_region,filter_category,filter_age,expected_source_id,expected_title,note
TC_HARD_001,통합검색,중,지역 자원 발굴해서 청년이 창업하는 프로그램,,,,PBLN_000000000121475,[서울] 2026년 넥스트로컬 8기 참여자 모집 공고,넥스트로컬 키워드 제거하고 의미만 남김
TC_HARD_002,통합검색,중,전세 사기 당한 청년 집 수리비 지원해주는 거 있나,,,,20260430005400212956,부산 전세사기 피해주택 시설개선 지원사업,전세사기 피해주택 시설개선을 일상어로 풀어씀
TC_HARD_003,통합검색,중,보호종료 청년 처음 독립할 때 정착 자금,,,,20260430005400212955,부산 자립준비청년 자립정착금 지원,자립준비청년 자립정착금을 풀어씀
TC_HARD_004,통합검색,중,청년이 매달 저축하면 정부가 돈 보태주는 통장,,,,20260430005400113009,청년내일저축계좌,청년내일저축계좌를 기능으로 풀어씀
TC_HARD_005,통합검색,중,외국 진출하고 싶은 제주 청년 글로벌 역량 교육,,,,20260421005400212808,제주청년 글로벌스탠다드 역량강화 지원사업,글로벌스탠다드를 의미로 풀어씀
TC_HARD_006,통합검색,중,광주 광산구에서 사업장 운영하는 청년 월세 보태주는 사업,,,,20260429005400212915,2026년 광산구 청년창업자 사업장 월 임대료 지원사업,사업장 월 임대료 지원을 풀어씀
TC_HARD_007,통합검색,중,농사 짓고 싶은 청년 농촌 정착 도와주는 교육,,,,20260421005400212791,청년농업인 창업 인큐베이팅 지원사업,인큐베이팅을 의미로 풀어씀
TC_HARD_008,통합검색,중,호반그룹과 함께하는 대전 스타트업 협업 프로그램,,,,PBLN_000000000121354,2026년 12기 드림벤처스타 지원사업 (호반그룹),호반그룹 키워드 유지하되 드림벤처스타 제거
TC_HARD_009,통합검색,중,강원도 의료 디지털 기술 회사 해외 전시회 참가 지원,,,,PBLN_000000000121431,글로벌 시장 진출(태국WHX) 지원 기업 모집,디지털트윈 융합 의료혁신을 일상어로
TC_HARD_010,통합검색,중,고흥에서 창업 준비하는 청년 지원 사업,,,,PBLN_000000000121473,2026년 고흥군 청년 창업 도전 프로젝트,지역+키워드 단순 매칭
TC_HARD_011,통합검색,상,빚 갚느라 힘든 청년들 자산 모으게 도와주는 정책,,,,20260430005400113009,청년내일저축계좌,근로빈곤층을 완전 일상어로 변환
